tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
114.00;317371668#1_1;150.53;11.03;93.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_727;21.00;Auto_727;0;148.58;0.82;0.00;7.67;MotorCycle;;0;0.00
125.00;317371668#1_1;150.53;11.23;100.00;0.00;317371668#1_1;10.20;0.00;tripinfo_Auto_774;25.00;Auto_774;0;140.33;0.85;0.00;12.85;Bus;;0;0.00
128.00;317371668#1_1;150.53;12.58;104.00;4.00;317371668#1_1;2.70;0.00;tripinfo_Auto_775;24.00;Auto_775;0;147.83;1.14;0.00;13.93;Auto;;0;0.00
130.00;331667964#4_1;46.11;11.70;60.00;0.00;37571582#0_1;1.95;0.00;tripinfo_MotorCycle_453;70.00;MotorCycle_453;0;559.70;0.99;0.00;28.70;MotorCycle;;1;1.00
131.00;331667964#4_1;46.11;11.77;63.00;2.00;37571582#0_1;1.95;0.00;tripinfo_Bus_461;68.00;Bus_461;0;559.70;0.92;0.00;24.01;MotorCycle;;0;0.00
131.00;317371668#1_1;150.53;11.66;107.00;3.00;317371668#1_1;2.70;0.00;tripinfo_Bus_811;24.00;Bus_811;0;147.83;0.84;0.00;11.10;Auto;;1;1.00
133.00;317371668#1_1;150.53;12.95;110.00;6.00;317371668#1_1;1.95;0.00;tripinfo_Bus_812;23.00;Bus_812;0;148.58;1.12;0.00;12.86;MotorCycle;;1;1.00
143.00;317371668#1_1;150.53;11.99;119.00;0.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_921;24.00;MotorCycle_921;0;147.83;0.91;0.00;11.88;Auto;;0;0.00
144.00;331667964#4_1;46.11;8.09;66.00;2.00;37571582#0_1;2.70;0.00;tripinfo_Auto_480;78.00;Auto_480;0;558.95;1.03;0.00;38.26;Auto;;1;2.00
145.00;331667964#4_1;46.11;8.25;69.00;5.00;37571582#0_1;1.95;0.00;tripinfo_Auto_481;76.00;Auto_481;0;559.70;1.04;0.00;37.21;MotorCycle;;0;0.00
147.00;331667964#4_1;46.11;8.83;72.00;5.00;37571582#0_1;1.95;0.00;tripinfo_Bus_503;75.00;Bus_503;0;559.70;0.96;0.00;32.18;MotorCycle;;0;0.00
149.00;331667964#4_1;46.11;8.47;75.00;7.00;37571582#0_1;2.70;0.00;tripinfo_Bus_512;74.00;Bus_512;0;558.95;1.09;0.00;36.71;Auto;;0;0.00
150.00;331667964#4_1;46.11;8.46;78.00;8.00;37571582#0_1;2.70;0.00;tripinfo_Auto_525;72.00;Auto_525;0;558.95;1.02;0.00;32.33;Auto;;0;0.00
152.00;331667964#4_1;46.11;8.84;82.00;3.00;37571582#0_1;2.70;0.00;tripinfo_Bus_613;70.00;Bus_613;0;558.95;0.96;0.00;27.43;Auto;;0;0.00
153.00;331667964#4_1;46.11;8.43;85.00;6.00;37571582#0_1;1.95;0.00;tripinfo_Bus_614;68.00;Bus_614;0;559.70;1.14;0.00;32.42;MotorCycle;;0;0.00
154.00;173008341#6_1;117.82;16.12;3.00;0.00;330925771#2_1;3.70;0.00;tripinfo_Bus_33;151.00;Bus_33;0;1757.16;1.17;0.00;41.19;Car;;0;0.00
155.00;331667964#4_1;46.11;8.89;88.00;2.00;37571582#0_1;2.70;0.00;tripinfo_Auto_677;67.00;Auto_677;0;558.95;1.02;0.00;27.06;Auto;;0;0.00
156.00;331667964#4_1;46.11;8.71;91.00;5.00;37571582#0_1;1.95;0.00;tripinfo_Auto_678;65.00;Auto_678;0;559.70;0.99;0.00;24.20;MotorCycle;;0;0.00
156.00;317371668#1_1;150.53;12.34;132.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1015;24.00;Bus_1015;0;147.83;1.23;0.00;14.37;Auto;;0;0.00
157.00;331667964#4_1;46.11;8.87;94.00;7.00;37571582#0_1;2.70;0.00;tripinfo_Bus_689;63.00;Bus_689;0;558.95;1.22;0.00;28.02;Auto;;0;0.00
162.00;317371668#1_1;150.53;12.08;138.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1064;24.00;Bus_1064;0;147.83;1.04;0.00;13.61;Auto;;0;0.00
165.00;317371668#1_1;150.53;12.62;142.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Bus_1065;23.00;Bus_1065;0;146.83;0.92;0.00;10.98;Car;;0;0.00
170.00;317371668#1_1;150.53;12.17;146.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1122;24.00;Bus_1122;0;147.83;1.24;0.00;14.64;Auto;;0;0.00
171.00;331667964#4_1;46.11;12.23;97.00;10.00;37571582#0_1;1.95;0.00;tripinfo_Bus_690;74.00;Bus_690;0;559.70;0.90;0.00;28.39;MotorCycle;;1;6.00
173.00;173008341#6_1;117.82;14.83;6.00;1.00;330925771#2_1;2.70;0.00;tripinfo_MotorCycle_45;167.00;MotorCycle_45;0;1758.16;1.09;0.00;49.33;Auto;;0;0.00
173.00;317371668#1_1;150.53;13.56;150.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Bus_1123;23.00;Bus_1123;0;146.83;1.02;0.00;11.82;Car;;0;0.00
174.00;317371668#1_1;150.53;13.46;153.00;4.00;317371668#1_1;1.95;0.00;tripinfo_Auto_1145;21.00;Auto_1145;0;148.58;0.98;0.00;9.89;MotorCycle;;0;0.00
181.00;317371668#1_1;150.53;12.83;157.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Car_1202;24.00;Car_1202;0;147.83;0.98;0.00;12.33;Auto;;0;0.00
183.00;331667964#4_1;46.11;14.92;110.00;0.00;37571582#0_1;10.20;0.00;tripinfo_Car_850;73.00;Car_850;0;551.45;1.10;0.00;36.33;Bus;;1;2.00
184.00;317371668#1_1;150.53;12.30;163.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Bus_1246;21.00;Bus_1246;0;148.58;0.91;0.00;9.11;MotorCycle;;0;0.00
185.00;331667964#4_1;46.11;13.08;113.00;3.00;37571582#0_1;2.70;0.00;tripinfo_Car_851;72.00;Car_851;0;558.95;0.96;0.00;30.02;Auto;;1;1.00
187.00;331667964#4_1;46.11;14.12;117.00;1.00;37571582#0_1;1.95;0.00;tripinfo_Bus_891;70.00;Bus_891;0;559.70;1.05;0.00;31.05;MotorCycle;;0;0.00
