tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
407.00;244327260#6_0;209.72;13.18;33.00;21.00;244329796#13_1;2.70;0.00;tripinfo_MotorCycle_102;374.00;MotorCycle_102;0;1539.02;0.97;0.00;258.96;Auto;;6;157.00
407.00;173008341#6_1;117.82;13.75;129.00;16.00;330925771#2_1;1.95;0.00;tripinfo_MotorCycle_863;278.00;MotorCycle_863;0;1758.91;0.99;0.00;148.69;MotorCycle;;4;70.00
408.00;173008341#6_1;117.82;13.58;133.00;20.00;330925771#2_1;3.70;0.00;tripinfo_MotorCycle_864;275.00;MotorCycle_864;0;1757.16;1.17;0.00;165.21;Car;;4;68.00
409.00;244327260#6_0;209.72;14.14;37.00;24.00;244329796#13_1;1.95;0.00;tripinfo_MotorCycle_108;372.00;MotorCycle_108;0;1539.77;1.06;0.00;266.97;MotorCycle;;5;154.00
414.00;317371668#1_1;150.53;11.35;389.00;9.00;317371668#1_1;10.20;0.00;tripinfo_Bus_2886;25.00;Bus_2886;0;140.33;1.06;0.00;15.02;Bus;;0;0.00
417.00;317371668#1_1;150.53;12.78;393.00;13.00;317371668#1_1;2.70;0.00;tripinfo_Bus_2887;24.00;Bus_2887;0;147.83;1.02;0.00;12.75;Auto;;0;0.00
418.00;317371668#1_1;150.53;11.66;396.00;16.00;317371668#1_1;1.95;0.00;tripinfo_Bus_2888;22.00;Bus_2888;0;148.58;0.84;0.00;9.09;MotorCycle;;0;0.00
421.00;317371668#1_1;150.53;11.63;399.00;19.00;317371668#1_1;3.70;0.00;tripinfo_Bus_2889;22.00;Bus_2889;0;146.83;0.84;0.00;9.46;Car;;0;0.00
423.00;-330925771#2_1;98.00;11.59;14.00;0.00;172932752#4_1;2.70;0.00;tripinfo_Bus_123;409.00;Bus_123;0;1944.60;1.02;0.00;269.11;Auto;;8;136.00
423.00;317371668#1_1;150.53;12.95;402.00;11.00;317371668#1_1;1.95;0.00;tripinfo_Auto_2984;21.00;Auto_2984;0;148.58;0.95;0.00;9.29;MotorCycle;;0;0.00
424.00;-330925771#2_1;98.00;11.55;17.00;3.00;172932752#4_1;1.95;0.00;tripinfo_Bus_124;407.00;Bus_124;0;1945.35;1.06;0.00;272.09;MotorCycle;;7;131.00
425.00;167457326_1;304.94;12.49;189.00;44.00;317766697#1_1;10.20;0.00;tripinfo_MotorCycle_1118;236.00;MotorCycle_1118;0;492.76;0.91;0.00;196.46;Bus;;9;108.00
426.00;-330925771#2_1;98.00;11.93;20.00;5.00;172932752#4_1;3.70;0.00;tripinfo_MotorCycle_133;406.00;MotorCycle_133;0;1943.60;1.04;0.00;268.75;Car;;7;133.00
427.00;167457326_1;304.94;13.85;192.00;42.00;317766697#1_1;1.95;0.00;tripinfo_Car_1155;235.00;Car_1155;0;501.01;1.06;0.00;200.19;MotorCycle;;9;106.00
427.00;317371668#1_1;150.53;13.87;405.00;12.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2998;22.00;Auto_2998;0;146.83;1.07;0.00;11.60;Car;;0;0.00
428.00;-330925771#2_1;98.00;10.99;23.00;0.00;172932752#4_1;2.70;0.00;tripinfo_Car_194;405.00;Car_194;0;1944.60;1.00;0.00;262.06;Auto;;7;129.00
428.00;173008341#6_1;117.82;13.97;137.00;23.00;330925771#2_1;3.70;0.00;tripinfo_Car_871;291.00;Car_871;0;1757.16;1.01;0.00;163.57;Car;;6;82.00
428.00;167457326_1;304.94;13.45;196.00;46.00;317766697#1_1;3.70;0.00;tripinfo_Car_1156;232.00;Car_1156;0;499.26;0.97;0.00;194.60;Car;;8;103.00
429.00;167457326_1;304.94;13.54;199.00;46.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1175;230.00;Auto_1175;0;500.26;1.10;0.00;197.22;Auto;;5;98.00
429.00;317371668#1_1;150.53;13.08;408.00;13.00;317371668#1_1;1.95;0.00;tripinfo_Auto_3020;21.00;Auto_3020;0;148.58;0.95;0.00;9.62;MotorCycle;;0;0.00
