tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
89.00;317371668#1_1;150.53;13.68;68.00;0.00;317371668#1_1;1.95;0.00;tripinfo_MotorCycle_511;21.00;MotorCycle_511;0;148.58;1.01;0.00;9.71;MotorCycle;;0;0.00
93.00;317371668#1_1;150.53;13.74;71.00;0.00;317371668#1_1;1.95;0.00;tripinfo_MotorCycle_533;22.00;MotorCycle_533;0;148.58;0.99;0.00;11.00;MotorCycle;;0;0.00
94.00;167457326_1;304.94;15.06;4.00;0.00;317766697#1_1;2.70;0.00;tripinfo_Auto_42;90.00;Auto_42;0;500.26;1.09;0.00;56.87;Auto;;1;26.00
96.00;167457326_1;304.94;14.14;8.00;4.00;317766697#1_1;3.70;0.00;tripinfo_Auto_43;88.00;Auto_43;0;499.26;1.04;0.00;52.98;Car;;1;25.00
97.00;317371668#1_1;150.53;13.22;75.00;4.00;317371668#1_1;3.70;0.00;tripinfo_MotorCycle_534;22.00;MotorCycle_534;0;146.83;1.04;0.00;11.36;Car;;0;0.00
98.00;167457326_1;304.94;14.14;10.00;1.00;317766697#1_1;1.95;0.00;tripinfo_Car_80;88.00;Car_80;0;501.01;1.03;0.00;52.51;MotorCycle;;2;25.00
99.00;167457326_1;304.94;14.99;15.00;0.00;317766697#1_1;2.70;0.00;tripinfo_Auto_136;84.00;Auto_136;0;500.26;1.12;0.00;51.40;Auto;;1;20.00
102.00;167457326_1;304.94;12.78;18.00;1.00;317766697#1_1;2.70;0.00;tripinfo_Auto_153;84.00;Auto_153;0;500.26;0.93;0.00;44.63;Auto;;1;17.00
103.00;167457326_1;304.94;13.39;22.00;1.00;317766697#1_1;2.70;0.00;tripinfo_MotorCycle_180;81.00;MotorCycle_180;0;500.26;1.10;0.00;48.02;Auto;;1;14.00
103.00;317371668#1_1;150.53;12.55;79.00;5.00;317371668#1_1;3.70;0.00;tripinfo_Car_560;24.00;Car_560;0;146.83;1.13;0.00;14.37;Car;;0;0.00
106.00;167457326_1;304.94;12.13;29.00;0.00;317766697#1_1;1.95;0.00;tripinfo_Car_237;77.00;Car_237;0;501.01;0.88;0.00;35.95;MotorCycle;;1;11.00
106.00;317371668#1_1;150.53;12.51;83.00;6.00;317371668#1_1;2.70;0.00;tripinfo_Bus_588;23.00;Bus_588;0;147.83;0.95;0.00;11.48;Auto;;0;0.00
107.00;167457326_1;304.94;12.27;41.00;0.00;317766697#1_1;2.70;0.00;tripinfo_Bus_329;66.00;Bus_329;0;500.26;0.90;0.00;25.85;Auto;;0;0.00
109.00;167457326_1;304.94;13.28;43.00;2.00;317766697#1_1;1.95;0.00;tripinfo_Bus_330;66.00;Bus_330;0;501.01;0.96;0.00;27.79;MotorCycle;;1;1.00
110.00;167457326_1;304.94;12.23;48.00;0.00;317766697#1_1;1.95;0.00;tripinfo_Auto_363;62.00;Auto_363;0;501.01;0.90;0.00;21.95;MotorCycle;;0;0.00
110.00;317371668#1_1;150.53;12.91;86.00;2.00;317371668#1_1;2.70;0.00;tripinfo_Bus_666;24.00;Bus_666;0;147.83;1.06;0.00;13.08;Auto;;0;0.00
111.00;167457326_1;304.94;13.26;54.00;0.00;317766697#1_1;2.70;0.00;tripinfo_Bus_411;57.00;Bus_411;0;500.26;0.98;0.00;20.13;Auto;;0;0.00
111.00;317371668#1_1;150.53;12.34;89.00;4.00;317371668#1_1;1.95;0.00;tripinfo_Bus_673;22.00;Bus_673;0;148.58;1.02;0.00;11.22;MotorCycle;;0;0.00
113.00;167457326_1;304.94;13.28;57.00;3.00;317766697#1_1;1.95;0.00;tripinfo_Bus_412;56.00;Bus_412;0;501.01;0.97;0.00;18.35;MotorCycle;;0;0.00
