tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
371.00;-167186112#2_1;110.93;12.70;4.00;1.00;-167589230#4_1;1.95;0.00;tripinfo_Bus_34;367.00;Bus_34;0;1495.63;0.99;0.00;249.09;MotorCycle;;3;186.00
371.00;-166800604#5_1;282.77;15.00;6.00;0.00;-167456093_1;2.70;0.00;tripinfo_Car_53;365.00;Car_53;0;3005.11;1.10;0.00;165.31;Auto;;4;53.00
371.00;-37555829#0_1;633.17;14.11;42.00;14.00;166751738#1_1;2.70;0.00;tripinfo_Auto_227;329.00;Auto_227;0;1638.77;1.11;0.00;219.92;Auto;;4;108.00
371.00;167457326_1;304.94;13.15;147.00;28.00;317766697#1_1;2.70;0.00;tripinfo_MotorCycle_919;224.00;MotorCycle_919;0;500.26;0.97;0.00;186.79;Auto;;7;101.00
372.00;-166800604#5_1;282.77;15.16;19.00;5.00;-167456093_1;1.95;0.00;tripinfo_MotorCycle_112;353.00;MotorCycle_112;0;3005.86;1.10;0.00;153.86;MotorCycle;;3;40.00
372.00;167461557#1_1;85.64;14.36;30.00;5.00;167584711#0_1;2.70;0.00;tripinfo_Bus_211;342.00;Bus_211;0;1619.86;1.04;0.00;228.69;Auto;;8;118.00
372.00;317371668#1_1;150.53;12.75;348.00;7.00;317371668#1_1;2.70;0.00;tripinfo_Bus_2610;24.00;Bus_2610;0;147.83;1.04;0.00;12.91;Auto;;0;0.00
373.00;-167186112#2_1;110.93;13.43;8.00;0.00;-167589230#4_1;1.95;0.00;tripinfo_Auto_63;365.00;Auto_63;0;1495.63;0.99;0.00;245.53;MotorCycle;;3;179.00
373.00;167461557#1_1;85.64;14.46;33.00;5.00;167584711#0_1;1.95;0.00;tripinfo_MotorCycle_223;340.00;MotorCycle_223;0;1620.61;1.06;0.00;230.28;MotorCycle;;10;119.00
373.00;167457326_1;304.94;13.42;151.00;32.00;317766697#1_1;3.70;0.00;tripinfo_MotorCycle_920;222.00;MotorCycle_920;0;499.26;0.99;0.00;184.70;Car;;8;96.00
373.00;317371668#1_1;150.53;12.31;351.00;10.00;317371668#1_1;1.95;0.00;tripinfo_Bus_2611;22.00;Bus_2611;0;148.58;0.90;0.00;9.85;MotorCycle;;0;0.00
374.00;-37555829#0_1;633.17;12.47;46.00;17.00;166751738#1_1;2.70;0.00;tripinfo_Auto_234;328.00;Auto_234;0;1638.77;0.91;0.00;195.15;Auto;;5;99.00
374.00;167457326_1;304.94;13.34;155.00;35.00;317766697#1_1;3.70;0.00;tripinfo_Car_929;219.00;Car_929;0;499.26;0.96;0.00;181.34;Car;;6;90.00
375.00;167461557#1_1;85.64;15.09;36.00;6.00;167584711#0_1;1.95;0.00;tripinfo_MotorCycle_238;339.00;MotorCycle_238;0;1620.61;1.10;0.00;231.57;MotorCycle;;10;115.00
376.00;-37555829#0_1;633.17;13.16;49.00;20.00;166751738#1_1;1.95;0.00;tripinfo_Auto_235;327.00;Auto_235;0;1639.52;0.96;0.00;199.87;MotorCycle;;5;96.00
376.00;167589230#4_1;143.24;9.12;43.00;2.00;167584430#0_1;1.95;0.00;tripinfo_Auto_323;333.00;Auto_323;0;1984.29;0.82;0.00;148.66;MotorCycle;;5;92.00
